years_after_2002,region,walk,walk_1_mile_plus,bicycle,car_driver,car_passenger,motorcycle,other_private_transport,bus_in_london,other_local_bus,non_local_bus,london_underground,surface_rail,taxi,other_public_transport,all_modes,all_modes_excl_short_walk,wnweighted_sample,year
9,East Midlands,288.7425343566331,172.28375509330778,54.2823602607277,6412.060425782341,3526.0156469294293,46.44691944737995,155.90172137890008,1.1887935587985554,366.78101881834704,139.16923557770042,11.781813476379995,381.95457027240514,68.556475179606565,37.7231961303908,11490.604711169037,11374.145931905712,4557.91,2011
9,West Midlands,266.9162405679361,141.2019197610626,58.642931968779806,5470.469602634179,3088.2100671519615,50.78375284131442,199.4305250053648,1.0016479778808842,443.0405426534262,84.87390332062861,16.13551680175377,599.250588031497,73.34742200408587,45.05830497313587,10397.161045931949,10271.446725125063,5530.35,2011
9,East of England,287.90218458716436,155.12729623458947,74.38208995741982,6559.0395710667335,3449.5762707333565,66.93387485320727,232.9351674490587,16.52266627379562,276.2143421012142,73.87686935087088,75.981836879584,1083.9721009008033,64.64189691640296,50.532257703792986,12312.511128773407,12179.736240420836,6006.910000000001,2011
9,London,360.13308407835564,149.87464158974467,92.74491447189884,2481.8737996414848,1581.9859718483353,55.36833665749677,84.35096132713105,886.0420815231214,10.46612114507223,118.51634746674536,695.7153164435352,1159.967465238649,103.90510612580901,149.10764175511622,7780.177147722746,7569.918705234148,7761.81,2011
9,South East,317.0755524995883,178.31126616487563,81.63384985562342,6877.5059828942385,3433.50266345426,81.34119783306159,166.0948516599437,19.39197002909779,263.7652223478025,73.65003880689723,60.65478823828528,1319.925505486117,91.41439684502629,52.21996358376058,12838.175983533698,12699.411697198975,8246.42,2011
9,South West,309.210146426887,190.85285116145585,109.45368760024644,6302.730851880153,3936.887604416913,63.285207659282065,361.8523404999966,1.3693678724096194,348.2819011009917,83.7316677028271,15.416020457490285,515.5369991081706,54.03877121073905,91.30056523546152,12193.095131171565,12074.737835906135,5102.09,2011
10,North East,321.2410577789693,195.01885626967905,46.84942828423154,5443.541994174521,2932.5692298814697,25.98775232679761,243.20167296286084,3.7471965743812037,660.8761050946534,12.553435589775068,10.479505507106536,661.8537570701255,108.05535899633502,133.95981411182325,10604.91630835305,10478.694106843752,2877.07,2012
10,North West,327.20140154287003,189.8466730422049,72.74252301459927,4754.276914544982,2745.888041512305,36.64382912746492,124.81825734465778,0.5684371094542993,446.10252989459275,54.40440952999918,4.874543107852759,631.5191283836806,103.99754417499805,44.02502132210663,9347.062580609565,9209.70785210891,7219.240000000001,2012
10,Yorkshire and The Humber,309.3519424056906,182.5183865776388,60.128029205504205,5735.805990199402,3265.5499443197305,27.4652196408329,169.63176405953638,2.119569545229624,459.08782860247265,157.4640553575876,15.587058773568101,773.9325644291212,77.44941407877148,42.81811352301023,11096.39149414045,10969.557938312399,4762.38,2012
10,East Midlands,293.09100120051426,171.77184976693835,71.69404024237409,6518.947620414212,3699.654059912697,53.228990959029524,200.41621592415703,3.3643543957012643,423.53747293762694,126.17379255310199,11.827582291019747,410.1912546097899,69.67337456738679,9.094897470473335,11890.89465747807,11769.575506044494,4404.96,2012
10,West Midlands,272.12565722415553,140.93593428236673,65.42285161346068,5575.4841880892955,3067.2537517043766,61.79420450248799,142.16757609313845,1.1222048454339453,476.0223530208074,42.2588294173756,9.701188217888992,491.9150641510822,73.81955867460024,36.17415437345742,10315.261581927565,10184.071858985766,5733.21,2012
10,East of England,294.3658254012469,155.74740143100277,91.5338858705882,6487.120721309976,3544.7610293485322,86.16204134855919,162.05004735723315,22.20795370396704,320.13817218821436,90.93009306348814,72.56004348593392,1125.9680956979619,80.30587520539655,71.53023450665842,12449.63401848776,12311.015594517514,6135.71,2012
10,London,356.38551890385673,150.7559533421291,97.98131373888123,2371.413094198852,1543.00357285258,54.35825448448907,106.86997426896481,777.7930178515595,13.027553910803732,142.62633266210577,682.7925654572333,1194.8052477928798,91.71091869196326,128.1357277052269,7560.903092519389,7355.273526957668,7684.530000000001,2012
10,South East,299.67682954026685,171.57951793171898,99.2927693798263,6564.960426185518,3479.8267704547256,70.37904358777796,178.83480887123636,19.843060825768937,274.3911676863383,68.68683209678728,54.80635893996788,1270.4605995432314,106.9273175174594,14.270017645551281,12502.356002274448,12374.258690665898,8186.85,2012
10,South West,317.52741244495104,194.19942935775768,120.81714555855167,6210.085363913029,3825.147959789435,118.46085096178977,337.5649417295324,1.2531715179508756,349.4200779299005,109.70829382739971,19.014983435712097,649.4700119169797,56.959981775310794,40.07888521880536,12155.509080019348,12032.181096932149,5160.05,2012
11,North East,304.9633272374262,186.09905883122926,61.14590895986463,4843.647924340239,2879.1579585576214,31.718450585512063,179.5579819157617,5.358964931487056,636.5624251838769,40.857783233015944,9.815530542441667,638.0824901896217,102.44681333400301,120.1205129918734,9853.436072002756,9734.571803596551,3070.27,2013
